_parent_table_path,_parent_table_name,_parent_record_index,_index,BARY,BASE
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,22,0,0.5,0.5
PLEX.LOUT.PINS,PINS,25,0,0.6499999761581421,0.6499999761581421
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,6,0,0,1.0
PLEX.LOUT.PINS,PINS,24,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,25,0,0.6499999761581421,0.6499999761581421
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,24,0,0.5,0.5
PLEX.LOUT.PINS,PINS,25,0,0.6499999761581421,0.6499999761581421
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,24,0,0.5,0.5
PLEX.LOUT.PINS,PINS,26,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,1.75,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,22,0,0.5,0.5
PLEX.LOUT.PINS,PINS,25,0,0.6499999761581421,0.6499999761581421
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,22,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,24,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,6,0,0,1.0
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,6,0,0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,22,0,0.5,0
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,6,0,0,1.0
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,6,0,0,1.0
PLEX.LOUT.PINS,PINS,25,0,0.6499999761581421,0.6499999761581421
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,6,0,0,1.0
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,0,0,1.75,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,22,0,0.5,0.5
PLEX.LOUT.PINS,PINS,26,0,0.5,0.5
PLEX.LOUT.PINS,PINS,25,0,0.6499999761581421,0.6499999761581421
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,6,0,0,1.0
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,6,0,0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,24,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,22,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,22,0,0,0.5
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,25,0,0.6499999761581421,0.6499999761581421
PLEX.LOUT.PINS,PINS,22,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,24,0,0.5,0.5
PLEX.LOUT.PINS,PINS,22,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,6,0,0,1.0
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,22,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,22,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,24,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,22,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,24,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,0,1.0
PLEX.LOUT.PINS,PINS,1,0,0,1.0
PLEX.LOUT.PINS,PINS,2,0,0,1.0
PLEX.LOUT.PINS,PINS,3,0,0,1.0
PLEX.LOUT.PINS,PINS,4,0,0,1.0
PLEX.LOUT.PINS,PINS,5,0,0,1.0
PLEX.LOUT.PINS,PINS,6,0,0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,0,0,2.0,1.0
PLEX.LOUT.PINS,PINS,1,0,2.0,1.0
PLEX.LOUT.PINS,PINS,2,0,2.0,1.0
PLEX.LOUT.PINS,PINS,3,0,2.0,1.0
PLEX.LOUT.PINS,PINS,4,0,2.0,1.0
PLEX.LOUT.PINS,PINS,5,0,2.0,1.0
PLEX.LOUT.PINS,PINS,6,0,2.0,1.0
PLEX.LOUT.PINS,PINS,22,0,0.5,0.5
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,25,0,0.6499999761581421,0.6499999761581421
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,23,0,0.8500000238418579,0.8500000238418579
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
PLEX.LOUT.PINS,PINS,22,0,0.5,0.5
PLEX.LOUT.PINS,PINS,22,0,0.5,0.5
PLEX.LOUT.PINS,PINS,0,0,1.0,1.0
PLEX.LOUT.PINS,PINS,1,0,1.0,1.0
PLEX.LOUT.PINS,PINS,2,0,1.0,1.0
PLEX.LOUT.PINS,PINS,3,0,1.0,1.0
PLEX.LOUT.PINS,PINS,4,0,1.0,1.0
PLEX.LOUT.PINS,PINS,5,0,1.0,1.0
PLEX.LOUT.PINS,PINS,6,0,1.0,1.0
